asn index file, asn id, asn name, ip
281,as16509,amazon.com, inc.,18.218.52.124
656,as16509,amazon.com, inc.,54.185.52.204
369,as16509,amazon.com, inc.,34.215.70.243
384,as14618,amazon.com, inc.,35.175.71.145
94,as16509,amazon.com, inc.,13.43.65.192
498,as16509,amazon.com, inc.,52.15.223.162
34,as16509,amazon.com, inc.,3.127.225.77
614,as16509,amazon.com, inc.,52.215.225.132
500,as16509,amazon.com, inc.,52.31.225.171
403,as16509,amazon.com, inc.,44.231.226.124
52,as14618,amazon.com, inc.,3.215.227.73
280,as14618,amazon.com, inc.,18.211.227.219
633,as16509,amazon.com, inc.,54.71.228.33
371,as16509,amazon.com, inc.,34.247.231.232
672,as16509,amazon.com, inc.,54.219.232.223
29,as16509,amazon.com, inc.,3.71.234.41
30,as14618,amazon.com, inc.,3.87.234.168
385,as16509,amazon.com, inc.,35.183.234.237
497,as14618,amazon.com, inc.,52.7.240.69
368,as14618,amazon.com, inc.,34.199.247.84
370,as14618,amazon.com, inc.,34.231.248.120
634,as14618,amazon.com, inc.,54.87.248.201
21,as16509,amazon.com, inc.,3.13.222.191
